Begun training at epoch 1.
Epoch 1/100 : train_acc:0.037, train_loss:4.351, val_acc:0.083, val_loss:0.083 (68.44705390930176s, ETA:1.90130705303616h)
Epoch 2/100 : train_acc:0.098, train_loss:3.889, val_acc:0.126, val_loss:0.126 (65.58565998077393s, ETA:1.8036056494712829h)
Epoch 3/100 : train_acc:0.132, train_loss:3.675, val_acc:0.140, val_loss:0.140 (65.64365363121033s, ETA:1.7869661266273922h)
Epoch 4/100 : train_acc:0.159, train_loss:3.520, val_acc:0.176, val_loss:0.176 (65.34520959854126s, ETA:1.7606903697384728h)
Epoch 5/100 : train_acc:0.176, train_loss:3.398, val_acc:0.167, val_loss:0.167 (65.80579972267151s, ETA:1.7548213259379069h)
Epoch 6/100 : train_acc:0.195, train_loss:3.316, val_acc:0.201, val_loss:0.201 (65.68166065216064s, ETA:1.7332660449875725h)
Epoch 7/100 : train_acc:0.214, train_loss:3.222, val_acc:0.231, val_loss:0.231 (65.89621758460999s, ETA:1.7206234591537053h)
Epoch 8/100 : train_acc:0.226, train_loss:3.156, val_acc:0.210, val_loss:0.210 (65.87987518310547s, ETA:1.701896775563558h)
Epoch 9/100 : train_acc:0.239, train_loss:3.096, val_acc:0.264, val_loss:0.264 (65.68362784385681s, ETA:1.6785816004541185h)
Epoch 10/100 : train_acc:0.250, train_loss:3.027, val_acc:0.259, val_loss:0.259 (65.7624180316925s, ETA:1.6623277891344492h)
Epoch 11/100 : train_acc:0.256, train_loss:3.002, val_acc:0.244, val_loss:0.244 (65.64392638206482s, ETA:1.6410981595516205h)
Epoch 12/100 : train_acc:0.263, train_loss:2.950, val_acc:0.278, val_loss:0.278 (66.0269386768341s, ETA:1.632332650621732h)
Epoch 13/100 : train_acc:0.273, train_loss:2.904, val_acc:0.270, val_loss:0.270 (65.84454083442688s, ETA:1.6095332203971013h)
Epoch 14/100 : train_acc:0.279, train_loss:2.889, val_acc:0.284, val_loss:0.284 (65.47947859764099s, ETA:1.582420732776324h)
Epoch 15/100 : train_acc:0.289, train_loss:2.826, val_acc:0.308, val_loss:0.308 (65.6858491897583s, ETA:1.5691619528664482h)
Epoch 16/100 : train_acc:0.296, train_loss:2.788, val_acc:0.278, val_loss:0.278 (65.56410694122314s, ETA:1.548041413889991h)
Epoch 17/100 : train_acc:0.300, train_loss:2.762, val_acc:0.309, val_loss:0.309 (65.43189692497253s, ETA:1.5267442615826925h)
Epoch 18/100 : train_acc:0.311, train_loss:2.714, val_acc:0.316, val_loss:0.316 (65.66118907928467s, ETA:1.5138551926612853h)
Epoch 19/100 : train_acc:0.315, train_loss:2.685, val_acc:0.294, val_loss:0.294 (66.02473473548889s, ETA:1.5038967356416915h)
Epoch 20/100 : train_acc:0.320, train_loss:2.647, val_acc:0.348, val_loss:0.348 (65.65693235397339s, ETA:1.4772809779644012h)
Epoch 21/100 : train_acc:0.332, train_loss:2.598, val_acc:0.304, val_loss:0.304 (65.4619562625885s, ETA:1.4547101391686332h)
Epoch 22/100 : train_acc:0.333, train_loss:2.588, val_acc:0.335, val_loss:0.335 (65.69977974891663s, ETA:1.441745166712337h)
Epoch 23/100 : train_acc:0.345, train_loss:2.540, val_acc:0.357, val_loss:0.357 (65.64002776145935s, ETA:1.422200601498286h)
Epoch 24/100 : train_acc:0.351, train_loss:2.508, val_acc:0.332, val_loss:0.332 (66.1159496307373s, ETA:1.4141467004352146h)
Epoch 25/100 : train_acc:0.351, train_loss:2.496, val_acc:0.367, val_loss:0.367 (65.84065508842468s, ETA:1.3899693852000765h)
Epoch 26/100 : train_acc:0.363, train_loss:2.438, val_acc:0.380, val_loss:0.380 (65.80830192565918s, ETA:1.3710062901178997h)
Epoch 27/100 : train_acc:0.363, train_loss:2.436, val_acc:0.335, val_loss:0.335 (65.56559324264526s, ETA:1.3477371944321526h)
Epoch 28/100 : train_acc:0.373, train_loss:2.393, val_acc:0.387, val_loss:0.387 (65.6278464794159s, ETA:1.3307868869437114h)
Epoch 29/100 : train_acc:0.377, train_loss:2.359, val_acc:0.358, val_loss:0.358 (65.84729266166687s, ETA:1.3169458532333376h)
Epoch 30/100 : train_acc:0.377, train_loss:2.366, val_acc:0.365, val_loss:0.365 (65.89743518829346s, ETA:1.2996438606580099h)
Epoch 31/100 : train_acc:0.383, train_loss:2.326, val_acc:0.394, val_loss:0.394 (65.69357800483704s, ETA:1.2773751278718313h)
Epoch 32/100 : train_acc:0.391, train_loss:2.298, val_acc:0.345, val_loss:0.345 (65.75418543815613s, ETA:1.2602885542313258h)
Epoch 33/100 : train_acc:0.393, train_loss:2.290, val_acc:0.373, val_loss:0.373 (65.78875207901001s, ETA:1.242676428159078h)
Epoch 34/100 : train_acc:0.402, train_loss:2.251, val_acc:0.401, val_loss:0.401 (66.09271168708801s, ETA:1.2300588008430269h)
Epoch 35/100 : train_acc:0.399, train_loss:2.252, val_acc:0.362, val_loss:0.362 (66.18941473960876s, ETA:1.213472603559494h)
Epoch 36/100 : train_acc:0.407, train_loss:2.221, val_acc:0.420, val_loss:0.420 (65.88821744918823s, ETA:1.1896483706103431h)
Epoch 37/100 : train_acc:0.412, train_loss:2.198, val_acc:0.376, val_loss:0.376 (65.83410668373108s, ETA:1.1703841188218858h)
Epoch 38/100 : train_acc:0.411, train_loss:2.199, val_acc:0.390, val_loss:0.390 (66.00949239730835s, ETA:1.155166116952896h)
Epoch 39/100 : train_acc:0.418, train_loss:2.174, val_acc:0.416, val_loss:0.416 (65.83867478370667s, ETA:1.1338882879416148h)
Epoch 40/100 : train_acc:0.420, train_loss:2.156, val_acc:0.363, val_loss:0.363 (65.82406067848206s, ETA:1.1153521392742793h)
Epoch 41/100 : train_acc:0.423, train_loss:2.151, val_acc:0.418, val_loss:0.418 (65.4055278301239s, ETA:1.090092130502065h)
Epoch 42/100 : train_acc:0.427, train_loss:2.123, val_acc:0.420, val_loss:0.420 (65.73177576065063s, ETA:1.0772707694106631h)
Epoch 43/100 : train_acc:0.428, train_loss:2.115, val_acc:0.391, val_loss:0.391 (65.8656690120697s, ETA:1.061169111861123h)
Epoch 44/100 : train_acc:0.436, train_loss:2.095, val_acc:0.434, val_loss:0.434 (65.64066910743713s, ETA:1.0393105942010878h)
Epoch 45/100 : train_acc:0.437, train_loss:2.081, val_acc:0.399, val_loss:0.399 (65.73398804664612s, ETA:1.0225287029478285h)
Epoch 46/100 : train_acc:0.434, train_loss:2.091, val_acc:0.407, val_loss:0.407 (65.7030348777771s, ETA:1.0037963661882612h)
Epoch 47/100 : train_acc:0.441, train_loss:2.068, val_acc:0.432, val_loss:0.432 (65.62269759178162s, ETA:0.9843404638767242h)
Epoch 48/100 : train_acc:0.446, train_loss:2.050, val_acc:0.376, val_loss:0.376 (65.79448056221008s, ETA:0.9686409638325374h)
Epoch 49/100 : train_acc:0.445, train_loss:2.052, val_acc:0.426, val_loss:0.426 (65.72607922554016s, ETA:0.949376699924469h)
Epoch 50/100 : train_acc:0.448, train_loss:2.026, val_acc:0.438, val_loss:0.438 (65.74966740608215s, ETA:0.9314536215861638h)
Epoch 51/100 : train_acc:0.450, train_loss:2.022, val_acc:0.387, val_loss:0.387 (65.81360411643982s, ETA:0.9140778349505531h)
Epoch 52/100 : train_acc:0.453, train_loss:2.010, val_acc:0.446, val_loss:0.446 (65.80920267105103s, ETA:0.8957363696893057h)
Epoch 53/100 : train_acc:0.458, train_loss:1.991, val_acc:0.428, val_loss:0.428 (65.67432999610901s, ETA:0.8756577332814535h)
Epoch 54/100 : train_acc:0.455, train_loss:1.994, val_acc:0.411, val_loss:0.411 (66.06837773323059s, ETA:0.8625593759616216h)
Epoch 55/100 : train_acc:0.462, train_loss:1.967, val_acc:0.460, val_loss:0.460 (65.51503849029541s, ETA:0.8371366029315525h)
Epoch 56/100 : train_acc:0.465, train_loss:1.956, val_acc:0.419, val_loss:0.419 (65.54683327674866s, ETA:0.8193354159593582h)
Epoch 57/100 : train_acc:0.460, train_loss:1.964, val_acc:0.449, val_loss:0.449 (65.9459662437439s, ETA:0.8060062540902032h)
Epoch 58/100 : train_acc:0.467, train_loss:1.938, val_acc:0.462, val_loss:0.462 (65.94322490692139s, ETA:0.7876551863882277h)
Epoch 59/100 : train_acc:0.466, train_loss:1.944, val_acc:0.414, val_loss:0.414 (65.56235885620117s, ETA:0.7648941866556804h)
Epoch 60/100 : train_acc:0.473, train_loss:1.927, val_acc:0.464, val_loss:0.464 (65.89216184616089s, ETA:0.7504385099146101h)
Epoch 61/100 : train_acc:0.473, train_loss:1.918, val_acc:0.430, val_loss:0.430 (65.9584481716156s, ETA:0.7328716463512844h)
Epoch 62/100 : train_acc:0.471, train_loss:1.915, val_acc:0.424, val_loss:0.424 (65.6165657043457s, ETA:0.7108461284637451h)
Epoch 63/100 : train_acc:0.477, train_loss:1.902, val_acc:0.468, val_loss:0.468 (65.63574051856995s, ETA:0.6928217054737938h)
Epoch 64/100 : train_acc:0.478, train_loss:1.890, val_acc:0.431, val_loss:0.431 (65.74705362319946s, ETA:0.6757336066828833h)
Epoch 65/100 : train_acc:0.479, train_loss:1.893, val_acc:0.449, val_loss:0.449 (65.95917582511902s, ETA:0.6595917582511902h)
Epoch 66/100 : train_acc:0.486, train_loss:1.870, val_acc:0.455, val_loss:0.455 (65.90832829475403s, ETA:0.6407754139767753h)
Epoch 67/100 : train_acc:0.483, train_loss:1.875, val_acc:0.415, val_loss:0.415 (65.60476183891296s, ETA:0.6196005284786225h)
Epoch 68/100 : train_acc:0.486, train_loss:1.861, val_acc:0.477, val_loss:0.477 (65.75815010070801s, ETA:0.6027830425898234h)
Epoch 69/100 : train_acc:0.489, train_loss:1.848, val_acc:0.441, val_loss:0.441 (65.6377604007721s, ETA:0.5834467591179742h)
