train_acc,train_loss,val_acc,val_loss
    0.262,     1.983,  0.309,   1.829
    0.343,     1.740,  0.367,   1.709
    0.390,     1.644,  0.390,   1.682
    0.426,     1.560,  0.392,   1.737
    0.446,     1.508,  0.391,   1.718
    0.462,     1.470,  0.421,   1.567
    0.474,     1.443,  0.472,   1.462
    0.485,     1.418,  0.498,   1.398
    0.493,     1.394,  0.473,   1.538
    0.503,     1.373,  0.487,   1.419
    0.512,     1.353,  0.500,   1.394
    0.515,     1.339,  0.484,   1.457
    0.521,     1.330,  0.439,   1.562
    0.526,     1.320,  0.487,   1.409
    0.530,     1.310,  0.519,   1.343
    0.530,     1.303,  0.474,   1.458
    0.534,     1.291,  0.476,   1.482
    0.539,     1.284,  0.413,   1.623
    0.538,     1.280,  0.499,   1.387
    0.541,     1.271,  0.470,   1.505
    0.546,     1.268,  0.420,   1.700
    0.549,     1.259,  0.431,   1.620
    0.547,     1.260,  0.473,   1.447
    0.550,     1.255,  0.533,   1.281
    0.555,     1.250,  0.528,   1.305
    0.555,     1.246,  0.543,   1.288
    0.556,     1.245,  0.501,   1.364
    0.557,     1.241,  0.487,   1.437
    0.558,     1.237,  0.518,   1.345
    0.559,     1.229,  0.523,   1.319
    0.559,     1.228,  0.440,   1.621
    0.560,     1.227,  0.461,   1.508
    0.560,     1.225,  0.535,   1.300
    0.564,     1.221,  0.508,   1.359
    0.560,     1.222,  0.563,   1.233
    0.564,     1.220,  0.537,   1.283
    0.568,     1.215,  0.432,   1.702
    0.564,     1.215,  0.547,   1.267
    0.566,     1.212,  0.398,   1.785
    0.568,     1.207,  0.496,   1.465
    0.570,     1.208,  0.541,   1.289
    0.569,     1.208,  0.476,   1.515
    0.568,     1.206,  0.420,   1.887
    0.571,     1.200,  0.540,   1.282
    0.569,     1.203,  0.554,   1.294
    0.571,     1.201,  0.512,   1.369
    0.568,     1.204,  0.511,   1.356
    0.573,     1.198,  0.529,   1.340
    0.573,     1.194,  0.485,   1.452
    0.572,     1.200,  0.500,   1.465
    0.573,     1.192,  0.543,   1.281
    0.572,     1.198,  0.547,   1.271
    0.575,     1.191,  0.552,   1.278
    0.575,     1.195,  0.493,   1.398
    0.577,     1.190,  0.551,   1.317
    0.574,     1.190,  0.528,   1.305
    0.574,     1.189,  0.515,   1.311
    0.577,     1.189,  0.534,   1.363
    0.578,     1.187,  0.562,   1.235
    0.576,     1.190,  0.557,   1.245
    0.574,     1.185,  0.537,   1.347
    0.574,     1.187,  0.567,   1.213
    0.578,     1.182,  0.579,   1.192
    0.580,     1.183,  0.490,   1.424
    0.578,     1.182,  0.527,   1.356
    0.575,     1.184,  0.562,   1.239
    0.580,     1.186,  0.559,   1.220
    0.577,     1.187,  0.519,   1.518
    0.580,     1.178,  0.471,   1.770
    0.581,     1.177,  0.491,   1.414
    0.581,     1.177,  0.471,   1.475
    0.580,     1.179,  0.515,   1.406
    0.577,     1.180,  0.555,   1.247
    0.583,     1.175,  0.517,   1.345
    0.580,     1.174,  0.440,   1.908
    0.577,     1.179,  0.473,   1.667
    0.582,     1.175,  0.586,   1.194
    0.584,     1.169,  0.525,   1.322
    0.581,     1.175,  0.504,   1.368
    0.581,     1.171,  0.482,   1.529
    0.597,     1.127,  0.609,   1.097
    0.603,     1.115,  0.611,   1.089
    0.603,     1.112,  0.605,   1.086
    0.604,     1.111,  0.609,   1.092
    0.605,     1.111,  0.609,   1.091
    0.604,     1.111,  0.610,   1.090
    0.604,     1.107,  0.610,   1.093
    0.606,     1.105,  0.609,   1.088
    0.607,     1.102,  0.614,   1.089
    0.608,     1.103,  0.612,   1.087
    0.605,     1.108,  0.609,   1.084
    0.604,     1.105,  0.610,   1.085
    0.607,     1.106,  0.606,   1.085
    0.608,     1.101,  0.608,   1.089
    0.608,     1.103,  0.611,   1.086
    0.610,     1.102,  0.608,   1.089
    0.606,     1.103,  0.611,   1.078
    0.607,     1.100,  0.616,   1.074
    0.608,     1.101,  0.611,   1.086
    0.608,     1.099,  0.611,   1.078
    0.607,     1.104,  0.616,   1.073
    0.610,     1.097,  0.614,   1.076
    0.606,     1.102,  0.607,   1.088
    0.607,     1.102,  0.609,   1.085
    0.609,     1.098,  0.612,   1.078
    0.608,     1.097,  0.608,   1.091
    0.609,     1.101,  0.616,   1.075
    0.609,     1.098,  0.613,   1.084
    0.609,     1.097,  0.605,   1.087
    0.609,     1.096,  0.613,   1.083
    0.610,     1.097,  0.612,   1.086
    0.609,     1.097,  0.613,   1.082
    0.608,     1.097,  0.614,   1.077
    0.608,     1.097,  0.613,   1.081
    0.609,     1.100,  0.610,   1.081
    0.610,     1.095,  0.607,   1.091
    0.611,     1.097,  0.616,   1.081
    0.609,     1.097,  0.610,   1.088
    0.611,     1.095,  0.611,   1.079
    0.609,     1.093,  0.613,   1.074
    0.616,     1.087,  0.618,   1.066
    0.614,     1.086,  0.616,   1.065
    0.615,     1.084,  0.620,   1.066
    0.614,     1.084,  0.618,   1.068
    0.617,     1.083,  0.617,   1.065
    0.619,     1.081,  0.617,   1.066
    0.613,     1.085,  0.617,   1.065
    0.615,     1.084,  0.618,   1.063
    0.616,     1.082,  0.616,   1.064
    0.614,     1.081,  0.617,   1.064
    0.616,     1.082,  0.618,   1.064
    0.613,     1.084,  0.616,   1.065
    0.616,     1.081,  0.617,   1.063
    0.613,     1.083,  0.618,   1.062
    0.615,     1.084,  0.617,   1.065
    0.616,     1.080,  0.616,   1.063
    0.614,     1.086,  0.615,   1.064
    0.612,     1.084,  0.618,   1.064
    0.614,     1.082,  0.618,   1.065
    0.615,     1.085,  0.617,   1.064
    0.616,     1.083,  0.617,   1.065
    0.617,     1.078,  0.616,   1.063
    0.615,     1.082,  0.617,   1.064
    0.615,     1.082,  0.617,   1.063
    0.615,     1.081,  0.618,   1.063
    0.615,     1.082,  0.618,   1.063
    0.615,     1.083,  0.617,   1.063
    0.616,     1.080,  0.617,   1.065
    0.616,     1.080,  0.617,   1.064
    0.616,     1.083,  0.616,   1.062
    0.614,     1.080,  0.617,   1.063
    0.613,     1.084,  0.615,   1.061
    0.615,     1.080,  0.616,   1.062
    0.615,     1.080,  0.618,   1.064
    0.615,     1.080,  0.615,   1.063
    0.616,     1.082,  0.615,   1.063
    0.613,     1.085,  0.618,   1.063
    0.619,     1.078,  0.617,   1.062
    0.615,     1.081,  0.617,   1.062
    0.614,     1.082,  0.615,   1.062
