train_acc,train_loss,val_acc,val_loss
    0.256,     2.009,  0.320,   1.806
    0.340,     1.764,  0.355,   1.705
    0.367,     1.693,  0.375,   1.657
    0.391,     1.636,  0.397,   1.619
    0.408,     1.599,  0.407,   1.596
    0.422,     1.563,  0.414,   1.584
    0.438,     1.532,  0.411,   1.618
    0.444,     1.510,  0.414,   1.616
    0.450,     1.495,  0.435,   1.547
    0.459,     1.478,  0.421,   1.553
    0.463,     1.465,  0.458,   1.468
    0.467,     1.456,  0.436,   1.537
    0.472,     1.445,  0.482,   1.433
    0.475,     1.435,  0.446,   1.494
    0.483,     1.425,  0.473,   1.467
    0.481,     1.419,  0.450,   1.532
    0.488,     1.416,  0.461,   1.522
    0.488,     1.409,  0.490,   1.459
    0.490,     1.405,  0.481,   1.429
    0.490,     1.396,  0.476,   1.429
    0.497,     1.389,  0.494,   1.419
    0.495,     1.386,  0.471,   1.451
    0.499,     1.382,  0.498,   1.385
    0.497,     1.383,  0.437,   1.525
    0.499,     1.379,  0.465,   1.468
    0.503,     1.374,  0.518,   1.350
    0.505,     1.368,  0.487,   1.427
    0.505,     1.368,  0.482,   1.441
    0.508,     1.363,  0.485,   1.423
    0.509,     1.359,  0.481,   1.420
    0.506,     1.361,  0.512,   1.348
    0.508,     1.359,  0.514,   1.346
    0.508,     1.356,  0.491,   1.408
    0.512,     1.353,  0.485,   1.476
    0.510,     1.355,  0.450,   1.516
    0.514,     1.352,  0.495,   1.384
    0.512,     1.349,  0.477,   1.441
    0.513,     1.346,  0.492,   1.398
    0.516,     1.343,  0.507,   1.350
    0.516,     1.341,  0.511,   1.345
    0.533,     1.300,  0.547,   1.261
    0.536,     1.292,  0.542,   1.257
    0.534,     1.292,  0.548,   1.254
    0.538,     1.288,  0.554,   1.253
    0.537,     1.289,  0.549,   1.250
    0.539,     1.284,  0.550,   1.253
    0.537,     1.285,  0.549,   1.249
    0.537,     1.281,  0.549,   1.252
    0.537,     1.284,  0.549,   1.259
    0.536,     1.286,  0.551,   1.248
    0.539,     1.283,  0.552,   1.249
    0.538,     1.283,  0.554,   1.245
    0.540,     1.279,  0.548,   1.256
    0.538,     1.281,  0.553,   1.247
    0.539,     1.277,  0.547,   1.252
    0.541,     1.279,  0.548,   1.250
    0.539,     1.281,  0.555,   1.240
    0.543,     1.279,  0.553,   1.243
    0.539,     1.279,  0.551,   1.244
    0.541,     1.278,  0.552,   1.250
    0.544,     1.272,  0.563,   1.228
    0.543,     1.271,  0.562,   1.229
    0.542,     1.270,  0.560,   1.229
    0.545,     1.267,  0.560,   1.228
    0.543,     1.269,  0.562,   1.228
    0.541,     1.272,  0.562,   1.229
    0.546,     1.268,  0.562,   1.227
    0.545,     1.267,  0.558,   1.226
    0.544,     1.267,  0.561,   1.227
    0.542,     1.269,  0.559,   1.225
    0.544,     1.270,  0.558,   1.227
    0.542,     1.271,  0.560,   1.228
    0.543,     1.268,  0.564,   1.227
    0.545,     1.267,  0.558,   1.228
    0.541,     1.272,  0.559,   1.226
    0.543,     1.270,  0.558,   1.227
    0.544,     1.265,  0.558,   1.226
    0.544,     1.263,  0.559,   1.225
    0.543,     1.270,  0.557,   1.226
    0.542,     1.269,  0.563,   1.226
