train_acc,train_loss,val_acc,val_loss
    0.269,     1.933,  0.344,   1.767
    0.378,     1.649,  0.409,   1.560
    0.432,     1.530,  0.412,   1.597
    0.474,     1.436,  0.444,   1.565
    0.503,     1.362,  0.490,   1.436
    0.528,     1.304,  0.508,   1.341
    0.546,     1.259,  0.538,   1.275
    0.563,     1.214,  0.561,   1.209
    0.577,     1.180,  0.585,   1.138
    0.592,     1.147,  0.590,   1.134
    0.597,     1.126,  0.589,   1.134
    0.605,     1.105,  0.588,   1.133
    0.613,     1.086,  0.572,   1.287
    0.616,     1.072,  0.602,   1.112
    0.623,     1.060,  0.620,   1.086
    0.624,     1.049,  0.489,   1.534
    0.631,     1.038,  0.523,   1.410
    0.636,     1.027,  0.639,   1.016
    0.639,     1.016,  0.612,   1.120
    0.641,     1.010,  0.595,   1.193
    0.645,     1.001,  0.609,   1.177
    0.648,     0.993,  0.592,   1.192
    0.649,     0.989,  0.635,   1.060
    0.653,     0.980,  0.567,   1.275
    0.657,     0.975,  0.530,   1.441
    0.656,     0.972,  0.565,   1.333
    0.659,     0.965,  0.576,   1.322
    0.661,     0.959,  0.635,   1.084
    0.665,     0.952,  0.646,   1.063
    0.664,     0.949,  0.574,   1.308
    0.667,     0.940,  0.616,   1.137
    0.669,     0.938,  0.660,   0.979
    0.669,     0.935,  0.665,   0.970
    0.672,     0.931,  0.613,   1.165
    0.675,     0.929,  0.645,   1.008
    0.676,     0.925,  0.650,   0.986
    0.676,     0.926,  0.653,   0.983
    0.676,     0.920,  0.650,   0.985
    0.675,     0.918,  0.603,   1.207
    0.678,     0.914,  0.652,   1.019
    0.678,     0.912,  0.656,   0.994
    0.680,     0.910,  0.644,   1.028
    0.679,     0.909,  0.489,   1.726
    0.684,     0.902,  0.532,   1.517
    0.681,     0.901,  0.631,   1.088
    0.682,     0.901,  0.546,   1.373
    0.686,     0.896,  0.624,   1.133
    0.687,     0.894,  0.605,   1.161
    0.687,     0.895,  0.677,   0.922
    0.687,     0.890,  0.647,   1.051
    0.685,     0.891,  0.536,   1.570
    0.688,     0.888,  0.667,   0.973
    0.691,     0.884,  0.622,   1.100
    0.690,     0.881,  0.637,   1.098
    0.688,     0.883,  0.513,   1.553
    0.693,     0.875,  0.582,   1.226
    0.693,     0.880,  0.644,   1.040
