train_acc,train_loss,val_acc,val_loss
    0.105,     2.643,  0.124,   2.287
    0.192,     2.153,  0.214,   2.059
    0.254,     1.953,  0.236,   1.988
    0.298,     1.839,  0.317,   1.795
    0.334,     1.759,  0.352,   1.736
    0.369,     1.682,  0.321,   1.878
    0.397,     1.614,  0.386,   1.641
    0.421,     1.556,  0.415,   1.559
    0.444,     1.502,  0.404,   1.653
    0.464,     1.450,  0.437,   1.499
    0.481,     1.414,  0.474,   1.450
    0.494,     1.382,  0.505,   1.357
    0.507,     1.346,  0.501,   1.380
    0.521,     1.312,  0.494,   1.469
    0.534,     1.281,  0.510,   1.371
    0.544,     1.250,  0.486,   1.489
    0.557,     1.225,  0.511,   1.450
    0.566,     1.195,  0.471,   1.657
    0.573,     1.176,  0.546,   1.327
    0.579,     1.158,  0.506,   1.376
    0.592,     1.128,  0.406,   1.886
    0.600,     1.108,  0.474,   1.577
    0.606,     1.090,  0.515,   1.380
    0.612,     1.071,  0.601,   1.140
    0.619,     1.052,  0.472,   1.627
    0.625,     1.033,  0.510,   1.456
    0.633,     1.019,  0.526,   1.414
    0.635,     1.003,  0.587,   1.213
    0.643,     0.985,  0.618,   1.104
    0.649,     0.973,  0.622,   1.094
    0.651,     0.962,  0.628,   1.066
    0.659,     0.947,  0.612,   1.125
    0.664,     0.932,  0.572,   1.287
    0.670,     0.919,  0.623,   1.108
    0.674,     0.912,  0.641,   1.023
    0.676,     0.898,  0.589,   1.271
    0.683,     0.885,  0.667,   0.959
    0.687,     0.872,  0.621,   1.115
    0.690,     0.870,  0.612,   1.143
    0.694,     0.854,  0.664,   0.994
    0.698,     0.843,  0.557,   1.437
    0.702,     0.836,  0.666,   0.969
    0.705,     0.830,  0.689,   0.912
    0.707,     0.822,  0.672,   0.930
    0.713,     0.808,  0.669,   0.970
    0.713,     0.803,  0.691,   0.914
    0.716,     0.796,  0.688,   0.918
    0.722,     0.783,  0.647,   1.082
    0.724,     0.775,  0.716,   0.828
    0.726,     0.771,  0.691,   0.918
    0.729,     0.762,  0.709,   0.824
    0.732,     0.755,  0.654,   1.065
    0.734,     0.750,  0.669,   1.007
    0.737,     0.741,  0.709,   0.854
    0.740,     0.732,  0.699,   0.910
    0.742,     0.727,  0.720,   0.800
    0.743,     0.726,  0.646,   1.037
    0.749,     0.715,  0.704,   0.888
    0.750,     0.708,  0.730,   0.784
