train_acc,train_loss,val_acc,val_loss
    0.253,     2.035,  0.346,   1.777
    0.461,     1.473,  0.527,   1.313
    0.573,     1.189,  0.618,   1.065
    0.640,     1.014,  0.643,   1.044
    0.691,     0.877,  0.695,   0.902
    0.731,     0.774,  0.703,   0.895
    0.754,     0.702,  0.695,   0.951
    0.778,     0.641,  0.728,   0.846
    0.791,     0.599,  0.723,   0.826
    0.805,     0.559,  0.760,   0.732
    0.819,     0.522,  0.752,   0.742
    0.829,     0.492,  0.768,   0.714
    0.837,     0.468,  0.805,   0.569
    0.848,     0.439,  0.786,   0.646
    0.854,     0.420,  0.817,   0.546
    0.861,     0.398,  0.803,   0.615
    0.865,     0.386,  0.824,   0.525
    0.874,     0.365,  0.825,   0.569
    0.878,     0.349,  0.840,   0.496
    0.884,     0.335,  0.834,   0.532
    0.888,     0.324,  0.812,   0.599
    0.890,     0.315,  0.824,   0.553
    0.896,     0.302,  0.853,   0.464
    0.898,     0.293,  0.841,   0.489
    0.901,     0.283,  0.850,   0.478
    0.905,     0.276,  0.830,   0.558
    0.907,     0.268,  0.849,   0.477
    0.910,     0.257,  0.843,   0.470
    0.914,     0.251,  0.857,   0.483
    0.916,     0.244,  0.832,   0.560
    0.915,     0.246,  0.831,   0.580
    0.917,     0.234,  0.834,   0.566
    0.918,     0.232,  0.852,   0.491
    0.922,     0.220,  0.860,   0.491
    0.924,     0.215,  0.863,   0.468
    0.924,     0.216,  0.840,   0.542
    0.926,     0.209,  0.867,   0.468
    0.928,     0.205,  0.862,   0.464
    0.929,     0.200,  0.854,   0.524
    0.930,     0.197,  0.843,   0.529
    0.930,     0.199,  0.864,   0.447
    0.934,     0.192,  0.850,   0.490
    0.935,     0.187,  0.864,   0.490
    0.932,     0.191,  0.860,   0.493
    0.935,     0.183,  0.871,   0.437
    0.934,     0.186,  0.852,   0.509
    0.938,     0.175,  0.856,   0.500
    0.938,     0.171,  0.849,   0.541
    0.940,     0.171,  0.879,   0.432
    0.942,     0.166,  0.877,   0.450
    0.942,     0.166,  0.862,   0.521
    0.943,     0.161,  0.866,   0.471
    0.943,     0.161,  0.860,   0.517
    0.945,     0.157,  0.863,   0.526
    0.945,     0.158,  0.863,   0.459
    0.945,     0.156,  0.865,   0.501
    0.945,     0.153,  0.863,   0.539
    0.945,     0.154,  0.865,   0.488
    0.945,     0.153,  0.877,   0.441
    0.948,     0.148,  0.865,   0.531
    0.947,     0.151,  0.865,   0.505
    0.950,     0.144,  0.849,   0.548
    0.947,     0.148,  0.868,   0.524
    0.950,     0.141,  0.873,   0.483
    0.951,     0.140,  0.841,   0.633
    0.951,     0.142,  0.876,   0.460
    0.950,     0.140,  0.873,   0.488
