train_acc,train_loss,val_acc,val_loss
    0.098,     2.430,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.098,     2.305,  0.098,   2.304
    0.097,     2.305,  0.098,   2.304
    0.129,     2.240,  0.191,   2.083
    0.300,     1.812,  0.373,   1.722
    0.445,     1.494,  0.509,   1.317
    0.558,     1.222,  0.568,   1.221
    0.652,     0.986,  0.615,   1.139
    0.715,     0.816,  0.704,   0.840
    0.756,     0.706,  0.691,   0.996
    0.784,     0.631,  0.749,   0.755
    0.801,     0.577,  0.769,   0.707
    0.815,     0.534,  0.785,   0.644
    0.828,     0.498,  0.792,   0.638
    0.840,     0.463,  0.820,   0.549
    0.849,     0.436,  0.809,   0.587
    0.858,     0.415,  0.827,   0.500
    0.867,     0.386,  0.825,   0.566
    0.872,     0.369,  0.834,   0.519
    0.878,     0.355,  0.813,   0.597
    0.881,     0.342,  0.841,   0.509
    0.886,     0.330,  0.821,   0.556
    0.891,     0.313,  0.834,   0.526
    0.895,     0.302,  0.822,   0.580
    0.898,     0.292,  0.843,   0.510
    0.902,     0.283,  0.843,   0.505
    0.908,     0.266,  0.844,   0.496
    0.909,     0.261,  0.843,   0.523
    0.912,     0.253,  0.862,   0.460
    0.916,     0.242,  0.856,   0.475
    0.916,     0.241,  0.844,   0.518
    0.918,     0.234,  0.853,   0.480
    0.922,     0.221,  0.866,   0.453
    0.924,     0.216,  0.877,   0.381
    0.925,     0.211,  0.871,   0.445
    0.926,     0.212,  0.875,   0.400
    0.930,     0.200,  0.851,   0.543
    0.928,     0.203,  0.871,   0.411
    0.929,     0.200,  0.871,   0.419
    0.933,     0.192,  0.869,   0.472
    0.932,     0.187,  0.869,   0.427
    0.937,     0.181,  0.857,   0.481
    0.936,     0.182,  0.879,   0.413
    0.938,     0.176,  0.867,   0.444
    0.941,     0.170,  0.828,   0.616
    0.942,     0.165,  0.871,   0.455
    0.942,     0.168,  0.869,   0.450
    0.943,     0.160,  0.879,   0.456
    0.943,     0.160,  0.879,   0.416
    0.944,     0.162,  0.871,   0.453
    0.945,     0.156,  0.853,   0.533
    0.947,     0.153,  0.875,   0.454
    0.948,     0.148,  0.853,   0.550
    0.946,     0.154,  0.873,   0.457
    0.950,     0.143,  0.872,   0.484
    0.950,     0.141,  0.837,   0.656
    0.949,     0.145,  0.877,   0.481
    0.949,     0.144,  0.880,   0.441
    0.954,     0.134,  0.876,   0.459
    0.951,     0.141,  0.873,   0.452
    0.954,     0.131,  0.860,   0.542
    0.952,     0.138,  0.852,   0.554
    0.954,     0.132,  0.866,   0.507
    0.954,     0.132,  0.880,   0.445
    0.955,     0.130,  0.856,   0.561
    0.956,     0.125,  0.863,   0.530
    0.955,     0.131,  0.878,   0.488
    0.977,     0.068,  0.916,   0.307
    0.987,     0.041,  0.916,   0.305
    0.990,     0.033,  0.920,   0.310
    0.992,     0.028,  0.919,   0.324
    0.993,     0.024,  0.918,   0.323
    0.994,     0.021,  0.918,   0.329
    0.995,     0.018,  0.919,   0.340
    0.996,     0.016,  0.919,   0.337
    0.996,     0.014,  0.920,   0.342
    0.996,     0.013,  0.917,   0.351
    0.997,     0.013,  0.919,   0.354
    0.997,     0.011,  0.918,   0.359
    0.997,     0.010,  0.920,   0.360
    0.997,     0.009,  0.920,   0.366
    0.998,     0.009,  0.921,   0.367
    0.998,     0.008,  0.919,   0.373
    0.998,     0.008,  0.920,   0.377
    0.999,     0.007,  0.922,   0.382
    0.998,     0.007,  0.921,   0.395
    0.998,     0.006,  0.921,   0.390
    0.999,     0.006,  0.920,   0.397
    0.999,     0.006,  0.920,   0.391
    0.999,     0.006,  0.921,   0.399
    0.999,     0.005,  0.920,   0.404
    0.999,     0.005,  0.918,   0.421
    0.999,     0.005,  0.920,   0.418
    0.999,     0.004,  0.918,   0.425
    0.999,     0.005,  0.919,   0.422
    0.999,     0.004,  0.920,   0.418
    0.999,     0.004,  0.919,   0.405
    0.999,     0.003,  0.920,   0.420
