train_acc,train_loss,val_acc,val_loss
    0.264,     1.965,  0.331,   1.752
    0.355,     1.708,  0.372,   1.675
    0.396,     1.616,  0.398,   1.629
    0.428,     1.546,  0.423,   1.592
    0.455,     1.481,  0.484,   1.425
    0.482,     1.420,  0.499,   1.378
    0.505,     1.364,  0.506,   1.362
    0.522,     1.318,  0.454,   1.655
    0.538,     1.279,  0.527,   1.315
    0.551,     1.248,  0.516,   1.344
    0.563,     1.218,  0.506,   1.399
    0.574,     1.192,  0.512,   1.340
    0.580,     1.174,  0.526,   1.328
    0.587,     1.154,  0.512,   1.392
    0.595,     1.138,  0.560,   1.264
    0.599,     1.121,  0.535,   1.348
    0.605,     1.109,  0.566,   1.236
    0.610,     1.097,  0.532,   1.305
    0.614,     1.084,  0.590,   1.149
    0.619,     1.072,  0.595,   1.126
    0.623,     1.062,  0.605,   1.115
    0.624,     1.052,  0.589,   1.172
    0.628,     1.047,  0.609,   1.140
    0.633,     1.037,  0.613,   1.079
    0.633,     1.030,  0.611,   1.137
    0.638,     1.023,  0.601,   1.136
    0.638,     1.017,  0.619,   1.121
    0.641,     1.010,  0.587,   1.197
    0.646,     1.001,  0.614,   1.135
    0.650,     0.990,  0.596,   1.176
    0.651,     0.987,  0.626,   1.076
    0.653,     0.979,  0.616,   1.087
    0.653,     0.977,  0.627,   1.082
    0.658,     0.970,  0.628,   1.051
    0.658,     0.968,  0.626,   1.082
    0.661,     0.957,  0.653,   1.008
    0.661,     0.956,  0.602,   1.185
    0.664,     0.952,  0.627,   1.072
    0.665,     0.948,  0.656,   0.973
    0.665,     0.944,  0.614,   1.124
    0.665,     0.941,  0.659,   0.986
    0.669,     0.936,  0.652,   0.992
    0.672,     0.929,  0.669,   0.943
    0.674,     0.923,  0.664,   0.981
    0.673,     0.925,  0.624,   1.088
    0.676,     0.918,  0.656,   1.007
    0.677,     0.916,  0.659,   0.962
    0.680,     0.906,  0.675,   0.943
    0.682,     0.904,  0.676,   0.935
    0.680,     0.907,  0.674,   0.960
    0.683,     0.903,  0.676,   0.925
    0.684,     0.895,  0.673,   0.944
    0.686,     0.894,  0.680,   0.937
    0.682,     0.898,  0.667,   0.968
    0.688,     0.885,  0.680,   0.927
    0.691,     0.883,  0.685,   0.905
    0.687,     0.882,  0.695,   0.878
    0.691,     0.876,  0.683,   0.909
