train_acc,train_loss,val_acc,val_loss
    0.162,     2.295,  0.233,   2.016
    0.307,     1.844,  0.329,   1.902
    0.424,     1.548,  0.476,   1.452
    0.548,     1.243,  0.501,   1.520
    0.626,     1.044,  0.655,   0.956
    0.683,     0.895,  0.699,   0.853
    0.729,     0.775,  0.676,   0.954
    0.760,     0.689,  0.742,   0.764
    0.783,     0.626,  0.778,   0.668
    0.799,     0.573,  0.784,   0.630
    0.817,     0.526,  0.792,   0.617
    0.833,     0.486,  0.809,   0.560
    0.842,     0.455,  0.816,   0.545
    0.853,     0.426,  0.791,   0.639
    0.860,     0.402,  0.832,   0.518
    0.872,     0.372,  0.819,   0.570
    0.880,     0.351,  0.811,   0.609
    0.885,     0.335,  0.845,   0.469
    0.891,     0.312,  0.835,   0.525
    0.895,     0.300,  0.829,   0.536
    0.902,     0.280,  0.854,   0.474
    0.907,     0.266,  0.821,   0.602
    0.910,     0.255,  0.826,   0.598
    0.917,     0.238,  0.846,   0.516
    0.921,     0.227,  0.862,   0.451
    0.924,     0.218,  0.872,   0.444
    0.925,     0.210,  0.857,   0.494
    0.929,     0.198,  0.849,   0.522
    0.934,     0.186,  0.854,   0.513
    0.935,     0.184,  0.850,   0.541
    0.940,     0.168,  0.853,   0.550
    0.942,     0.162,  0.867,   0.480
    0.944,     0.157,  0.871,   0.483
    0.947,     0.152,  0.851,   0.610
    0.948,     0.148,  0.852,   0.606
    0.950,     0.139,  0.859,   0.554
    0.955,     0.128,  0.873,   0.516
    0.956,     0.127,  0.861,   0.569
    0.958,     0.117,  0.862,   0.562
    0.960,     0.115,  0.863,   0.559
    0.963,     0.104,  0.866,   0.564
    0.964,     0.102,  0.874,   0.532
    0.964,     0.102,  0.864,   0.568
    0.966,     0.096,  0.859,   0.630
    0.969,     0.088,  0.860,   0.662
    0.968,     0.091,  0.882,   0.525
    0.969,     0.088,  0.861,   0.619
    0.970,     0.085,  0.867,   0.614
    0.973,     0.078,  0.883,   0.533
    0.975,     0.074,  0.865,   0.622
    0.973,     0.076,  0.883,   0.556
    0.975,     0.069,  0.877,   0.581
    0.976,     0.067,  0.876,   0.577
    0.979,     0.062,  0.881,   0.599
    0.976,     0.067,  0.886,   0.526
    0.979,     0.059,  0.867,   0.633
    0.976,     0.068,  0.884,   0.550
    0.980,     0.055,  0.885,   0.595
    0.980,     0.056,  0.881,   0.619
    0.979,     0.057,  0.866,   0.684
    0.982,     0.050,  0.884,   0.605
    0.982,     0.052,  0.874,   0.622
    0.984,     0.047,  0.878,   0.647
    0.984,     0.044,  0.878,   0.671
    0.985,     0.044,  0.880,   0.635
    0.986,     0.041,  0.881,   0.612
    0.985,     0.042,  0.893,   0.571
    0.984,     0.046,  0.886,   0.617
    0.987,     0.040,  0.893,   0.593
