train_acc,train_loss,val_acc,val_loss
    0.151,     2.336,  0.182,   2.124
    0.376,     1.677,  0.385,   1.833
    0.523,     1.304,  0.588,   1.156
    0.628,     1.043,  0.621,   1.091
    0.692,     0.873,  0.720,   0.814
    0.735,     0.763,  0.692,   0.936
    0.765,     0.677,  0.739,   0.772
    0.786,     0.615,  0.758,   0.736
    0.806,     0.564,  0.765,   0.710
    0.817,     0.530,  0.785,   0.644
    0.828,     0.494,  0.804,   0.579
    0.840,     0.464,  0.786,   0.720
    0.851,     0.434,  0.825,   0.534
    0.855,     0.423,  0.808,   0.608
    0.863,     0.399,  0.838,   0.496
    0.869,     0.378,  0.795,   0.651
    0.872,     0.365,  0.841,   0.493
    0.877,     0.351,  0.816,   0.597
    0.881,     0.340,  0.812,   0.600
    0.889,     0.323,  0.835,   0.549
    0.890,     0.314,  0.845,   0.503
    0.892,     0.304,  0.803,   0.656
    0.896,     0.297,  0.830,   0.519
    0.902,     0.283,  0.829,   0.565
    0.904,     0.273,  0.840,   0.541
    0.905,     0.269,  0.821,   0.599
    0.910,     0.260,  0.815,   0.605
    0.910,     0.256,  0.836,   0.533
    0.914,     0.249,  0.861,   0.449
    0.915,     0.244,  0.838,   0.561
    0.917,     0.237,  0.859,   0.459
    0.918,     0.235,  0.838,   0.555
    0.920,     0.231,  0.862,   0.460
    0.921,     0.223,  0.795,   0.763
    0.920,     0.225,  0.866,   0.441
    0.926,     0.211,  0.860,   0.455
    0.927,     0.209,  0.849,   0.521
    0.926,     0.209,  0.813,   0.687
    0.928,     0.203,  0.852,   0.520
    0.929,     0.199,  0.867,   0.454
    0.930,     0.197,  0.865,   0.461
    0.930,     0.196,  0.854,   0.500
    0.934,     0.189,  0.836,   0.583
    0.933,     0.191,  0.853,   0.541
    0.933,     0.186,  0.859,   0.494
    0.936,     0.184,  0.867,   0.442
    0.938,     0.178,  0.844,   0.540
    0.937,     0.180,  0.842,   0.561
    0.939,     0.173,  0.842,   0.546
    0.937,     0.180,  0.859,   0.517
    0.939,     0.172,  0.844,   0.575
    0.939,     0.171,  0.844,   0.594
    0.941,     0.164,  0.870,   0.453
    0.941,     0.168,  0.855,   0.518
    0.944,     0.161,  0.865,   0.478
    0.942,     0.161,  0.867,   0.482
    0.945,     0.156,  0.847,   0.528
    0.942,     0.164,  0.845,   0.567
    0.945,     0.154,  0.857,   0.569
    0.944,     0.158,  0.874,   0.474
    0.945,     0.154,  0.853,   0.588
    0.948,     0.151,  0.831,   0.764
    0.946,     0.154,  0.851,   0.560
    0.948,     0.150,  0.885,   0.410
    0.951,     0.141,  0.873,   0.433
    0.946,     0.150,  0.860,   0.543
    0.947,     0.153,  0.858,   0.535
    0.949,     0.146,  0.876,   0.458
    0.950,     0.141,  0.872,   0.460
    0.947,     0.148,  0.851,   0.547
    0.950,     0.142,  0.853,   0.568
    0.949,     0.143,  0.850,   0.561
    0.951,     0.141,  0.857,   0.537
    0.951,     0.140,  0.864,   0.510
    0.951,     0.140,  0.858,   0.568
    0.952,     0.138,  0.852,   0.617
    0.951,     0.140,  0.867,   0.494
    0.953,     0.134,  0.862,   0.521
    0.952,     0.134,  0.854,   0.513
    0.950,     0.141,  0.852,   0.544
    0.953,     0.132,  0.879,   0.456
    0.979,     0.064,  0.914,   0.315
    0.988,     0.037,  0.917,   0.311
    0.991,     0.029,  0.916,   0.317
    0.993,     0.024,  0.915,   0.328
    0.994,     0.021,  0.918,   0.328
    0.995,     0.018,  0.919,   0.338
    0.996,     0.015,  0.918,   0.358
    0.997,     0.013,  0.918,   0.358
    0.997,     0.012,  0.919,   0.355
    0.998,     0.011,  0.920,   0.357
    0.998,     0.010,  0.921,   0.371
    0.998,     0.009,  0.919,   0.378
    0.998,     0.009,  0.922,   0.377
    0.998,     0.007,  0.921,   0.394
    0.998,     0.007,  0.919,   0.397
    0.999,     0.006,  0.920,   0.399
    0.999,     0.006,  0.922,   0.396
    0.999,     0.005,  0.921,   0.396
    0.999,     0.006,  0.923,   0.394
    0.999,     0.005,  0.922,   0.411
    0.999,     0.005,  0.922,   0.416
    0.999,     0.005,  0.920,   0.426
    0.999,     0.005,  0.920,   0.419
    0.999,     0.004,  0.921,   0.416
    0.999,     0.004,  0.920,   0.425
    0.999,     0.004,  0.922,   0.414
    0.999,     0.004,  0.923,   0.420
    1.000,     0.003,  0.922,   0.427
    1.000,     0.003,  0.922,   0.425
    0.999,     0.004,  0.921,   0.418
    0.999,     0.003,  0.922,   0.420
    0.999,     0.003,  0.920,   0.433
    0.999,     0.003,  0.922,   0.427
    0.999,     0.003,  0.921,   0.427
    0.999,     0.003,  0.922,   0.444
    1.000,     0.003,  0.920,   0.458
    0.999,     0.003,  0.924,   0.446
    0.999,     0.003,  0.922,   0.441
    1.000,     0.002,  0.923,   0.432
    1.000,     0.002,  0.924,   0.440
    0.999,     0.003,  0.924,   0.441
    1.000,     0.002,  0.924,   0.441
    1.000,     0.002,  0.923,   0.439
    1.000,     0.002,  0.923,   0.441
    1.000,     0.002,  0.924,   0.439
    1.000,     0.002,  0.924,   0.439
    1.000,     0.002,  0.924,   0.437
    1.000,     0.002,  0.924,   0.437
    1.000,     0.002,  0.924,   0.438
    1.000,     0.002,  0.923,   0.441
    1.000,     0.001,  0.923,   0.436
    1.000,     0.001,  0.924,   0.435
    1.000,     0.002,  0.924,   0.439
    1.000,     0.002,  0.924,   0.438
    1.000,     0.002,  0.924,   0.436
    1.000,     0.002,  0.925,   0.438
    1.000,     0.002,  0.925,   0.441
    1.000,     0.002,  0.925,   0.440
    1.000,     0.002,  0.924,   0.440
    1.000,     0.002,  0.923,   0.438
    1.000,     0.002,  0.924,   0.436
    1.000,     0.002,  0.924,   0.439
    1.000,     0.001,  0.925,   0.437
    1.000,     0.001,  0.924,   0.438
    1.000,     0.002,  0.924,   0.438
    1.000,     0.001,  0.923,   0.443
    1.000,     0.001,  0.924,   0.439
    1.000,     0.002,  0.924,   0.440
    1.000,     0.002,  0.924,   0.438
    1.000,     0.002,  0.925,   0.442
