train_acc,train_loss,val_acc,val_loss
    0.335,     1.762,  0.434,   1.626
    0.485,     1.389,  0.519,   1.350
    0.591,     1.131,  0.543,   1.273
    0.668,     0.922,  0.646,   1.018
    0.721,     0.791,  0.694,   0.907
    0.757,     0.704,  0.739,   0.772
    0.780,     0.639,  0.737,   0.776
    0.797,     0.586,  0.729,   0.841
    0.809,     0.552,  0.752,   0.776
    0.823,     0.513,  0.795,   0.652
    0.828,     0.493,  0.771,   0.715
    0.840,     0.465,  0.789,   0.672
    0.846,     0.447,  0.765,   0.749
    0.852,     0.426,  0.759,   0.812
    0.859,     0.408,  0.741,   0.888
    0.866,     0.388,  0.810,   0.602
    0.868,     0.378,  0.800,   0.655
    0.872,     0.370,  0.791,   0.726
    0.875,     0.361,  0.827,   0.533
    0.881,     0.346,  0.789,   0.719
    0.885,     0.332,  0.797,   0.631
    0.889,     0.324,  0.777,   0.767
    0.892,     0.315,  0.790,   0.726
    0.894,     0.307,  0.788,   0.756
    0.892,     0.304,  0.776,   0.822
    0.897,     0.297,  0.799,   0.709
    0.899,     0.293,  0.815,   0.635
    0.903,     0.278,  0.826,   0.622
    0.901,     0.282,  0.832,   0.578
    0.905,     0.272,  0.853,   0.496
    0.906,     0.268,  0.839,   0.531
    0.910,     0.260,  0.854,   0.514
    0.912,     0.257,  0.852,   0.488
    0.910,     0.258,  0.815,   0.652
    0.911,     0.254,  0.842,   0.528
    0.914,     0.246,  0.858,   0.499
    0.917,     0.238,  0.844,   0.537
    0.916,     0.238,  0.814,   0.698
    0.918,     0.234,  0.828,   0.551
    0.920,     0.226,  0.846,   0.565
    0.921,     0.227,  0.866,   0.482
    0.921,     0.225,  0.805,   0.768
    0.922,     0.221,  0.852,   0.528
    0.921,     0.225,  0.847,   0.531
    0.925,     0.213,  0.861,   0.448
    0.925,     0.217,  0.846,   0.538
    0.925,     0.212,  0.850,   0.494
    0.927,     0.207,  0.857,   0.516
    0.926,     0.211,  0.859,   0.460
    0.927,     0.209,  0.837,   0.573
    0.930,     0.202,  0.839,   0.594
    0.930,     0.196,  0.861,   0.482
    0.930,     0.200,  0.834,   0.630
    0.933,     0.193,  0.873,   0.432
    0.931,     0.197,  0.823,   0.669
    0.934,     0.188,  0.852,   0.530
    0.932,     0.195,  0.829,   0.633
    0.933,     0.194,  0.859,   0.483
    0.934,     0.192,  0.880,   0.415
    0.935,     0.188,  0.857,   0.517
    0.935,     0.184,  0.855,   0.561
    0.935,     0.187,  0.832,   0.598
    0.938,     0.176,  0.855,   0.525
    0.936,     0.181,  0.863,   0.432
    0.936,     0.181,  0.843,   0.566
    0.936,     0.181,  0.856,   0.542
    0.937,     0.179,  0.867,   0.493
    0.937,     0.177,  0.840,   0.567
    0.937,     0.178,  0.877,   0.426
    0.939,     0.173,  0.836,   0.651
    0.937,     0.178,  0.789,   0.956
    0.937,     0.177,  0.864,   0.456
    0.942,     0.169,  0.850,   0.581
    0.939,     0.174,  0.866,   0.481
    0.940,     0.169,  0.853,   0.527
    0.940,     0.171,  0.857,   0.559
    0.941,     0.170,  0.868,   0.508
    0.941,     0.167,  0.830,   0.611
    0.943,     0.163,  0.874,   0.429
    0.942,     0.167,  0.843,   0.672
    0.969,     0.090,  0.913,   0.328
    0.979,     0.061,  0.914,   0.325
    0.983,     0.051,  0.917,   0.327
    0.985,     0.045,  0.918,   0.345
    0.987,     0.040,  0.917,   0.349
    0.988,     0.036,  0.919,   0.356
    0.988,     0.034,  0.923,   0.364
    0.990,     0.029,  0.916,   0.379
    0.991,     0.027,  0.920,   0.376
    0.991,     0.026,  0.921,   0.372
    0.993,     0.023,  0.919,   0.389
    0.993,     0.022,  0.918,   0.395
    0.993,     0.020,  0.922,   0.406
    0.994,     0.020,  0.921,   0.402
    0.995,     0.017,  0.917,   0.425
    0.994,     0.019,  0.919,   0.407
    0.994,     0.017,  0.918,   0.441
    0.995,     0.015,  0.918,   0.442
    0.995,     0.015,  0.919,   0.439
    0.996,     0.014,  0.922,   0.429
    0.995,     0.014,  0.923,   0.437
