train_acc,train_loss,val_acc,val_loss
    0.210,     2.125,  0.253,   1.977
    0.280,     1.921,  0.284,   1.865
    0.301,     1.829,  0.303,   1.819
    0.316,     1.791,  0.352,   1.734
    0.324,     1.772,  0.345,   1.722
    0.332,     1.755,  0.360,   1.697
    0.338,     1.740,  0.356,   1.697
    0.343,     1.730,  0.366,   1.688
    0.348,     1.721,  0.364,   1.679
    0.357,     1.715,  0.370,   1.668
    0.357,     1.707,  0.380,   1.668
    0.362,     1.700,  0.373,   1.688
    0.365,     1.696,  0.386,   1.653
    0.366,     1.693,  0.373,   1.678
    0.368,     1.687,  0.396,   1.636
    0.373,     1.681,  0.383,   1.662
    0.374,     1.681,  0.376,   1.668
    0.377,     1.677,  0.400,   1.618
    0.378,     1.670,  0.383,   1.640
    0.379,     1.666,  0.360,   1.724
    0.383,     1.662,  0.370,   1.683
    0.385,     1.656,  0.395,   1.613
    0.386,     1.647,  0.391,   1.616
    0.391,     1.641,  0.401,   1.592
    0.390,     1.635,  0.420,   1.574
    0.397,     1.627,  0.411,   1.608
    0.395,     1.622,  0.413,   1.563
    0.398,     1.619,  0.420,   1.549
    0.403,     1.609,  0.413,   1.572
    0.408,     1.604,  0.427,   1.544
    0.409,     1.600,  0.420,   1.579
    0.410,     1.599,  0.433,   1.528
    0.412,     1.594,  0.430,   1.556
    0.411,     1.592,  0.435,   1.520
    0.412,     1.590,  0.393,   1.674
    0.416,     1.586,  0.363,   1.798
    0.415,     1.585,  0.410,   1.600
    0.417,     1.582,  0.410,   1.643
    0.419,     1.577,  0.392,   1.661
    0.420,     1.577,  0.440,   1.508
    0.419,     1.577,  0.383,   1.720
    0.422,     1.572,  0.408,   1.617
    0.421,     1.572,  0.368,   1.814
    0.421,     1.576,  0.390,   1.681
    0.424,     1.571,  0.378,   1.719
    0.421,     1.568,  0.381,   1.745
    0.424,     1.568,  0.399,   1.661
    0.423,     1.564,  0.428,   1.565
    0.426,     1.564,  0.395,   1.669
    0.426,     1.565,  0.398,   1.690
    0.425,     1.562,  0.417,   1.599
    0.423,     1.561,  0.416,   1.613
    0.431,     1.556,  0.426,   1.564
    0.428,     1.556,  0.386,   1.734
    0.431,     1.558,  0.393,   1.692
    0.429,     1.555,  0.426,   1.564
    0.430,     1.552,  0.404,   1.686
    0.432,     1.554,  0.391,   1.681
    0.431,     1.554,  0.412,   1.611
    0.430,     1.553,  0.417,   1.574
    0.433,     1.553,  0.439,   1.539
    0.432,     1.552,  0.404,   1.631
    0.432,     1.548,  0.443,   1.502
    0.430,     1.552,  0.396,   1.689
    0.433,     1.550,  0.451,   1.499
    0.431,     1.553,  0.424,   1.598
    0.433,     1.546,  0.445,   1.532
    0.432,     1.548,  0.401,   1.646
    0.436,     1.544,  0.464,   1.477
    0.436,     1.545,  0.406,   1.652
    0.436,     1.546,  0.428,   1.585
    0.434,     1.544,  0.437,   1.568
    0.436,     1.546,  0.416,   1.601
    0.435,     1.544,  0.457,   1.487
    0.434,     1.543,  0.428,   1.576
    0.435,     1.543,  0.450,   1.512
    0.436,     1.542,  0.448,   1.537
    0.436,     1.543,  0.444,   1.514
    0.438,     1.542,  0.417,   1.640
    0.438,     1.542,  0.430,   1.587
    0.446,     1.518,  0.480,   1.427
    0.446,     1.515,  0.479,   1.425
    0.449,     1.515,  0.483,   1.424
    0.449,     1.512,  0.475,   1.424
    0.449,     1.511,  0.484,   1.426
    0.449,     1.513,  0.477,   1.421
    0.448,     1.511,  0.479,   1.424
    0.449,     1.511,  0.480,   1.424
    0.449,     1.511,  0.479,   1.422
    0.448,     1.512,  0.483,   1.421
    0.451,     1.512,  0.482,   1.422
    0.447,     1.514,  0.482,   1.421
    0.447,     1.513,  0.478,   1.422
    0.449,     1.510,  0.487,   1.422
    0.450,     1.511,  0.481,   1.419
    0.447,     1.510,  0.481,   1.419
    0.447,     1.510,  0.486,   1.421
    0.447,     1.511,  0.481,   1.417
    0.453,     1.509,  0.480,   1.424
    0.448,     1.512,  0.484,   1.422
    0.451,     1.508,  0.487,   1.422
    0.448,     1.512,  0.482,   1.422
    0.447,     1.511,  0.482,   1.420
    0.449,     1.508,  0.488,   1.420
    0.452,     1.509,  0.484,   1.422
    0.450,     1.510,  0.482,   1.422
    0.450,     1.512,  0.483,   1.420
    0.450,     1.508,  0.480,   1.418
    0.449,     1.509,  0.481,   1.420
    0.448,     1.509,  0.485,   1.419
    0.450,     1.510,  0.481,   1.419
    0.451,     1.512,  0.486,   1.418
    0.448,     1.510,  0.480,   1.418
    0.450,     1.508,  0.478,   1.420
    0.454,     1.505,  0.485,   1.417
    0.449,     1.508,  0.485,   1.420
    0.450,     1.507,  0.486,   1.421
    0.448,     1.508,  0.483,   1.413
    0.450,     1.509,  0.478,   1.417
    0.450,     1.507,  0.482,   1.418
    0.451,     1.505,  0.485,   1.412
    0.451,     1.506,  0.486,   1.412
    0.451,     1.501,  0.487,   1.411
    0.452,     1.504,  0.487,   1.412
    0.452,     1.504,  0.487,   1.412
    0.453,     1.503,  0.487,   1.413
    0.452,     1.501,  0.489,   1.412
    0.454,     1.504,  0.490,   1.412
    0.451,     1.505,  0.488,   1.412
    0.451,     1.503,  0.490,   1.411
    0.454,     1.504,  0.488,   1.413
    0.452,     1.503,  0.491,   1.411
    0.450,     1.504,  0.490,   1.412
    0.454,     1.502,  0.488,   1.412
    0.454,     1.502,  0.489,   1.411
    0.454,     1.502,  0.489,   1.411
    0.452,     1.504,  0.491,   1.412
    0.451,     1.502,  0.489,   1.411
    0.452,     1.504,  0.487,   1.413
    0.454,     1.502,  0.486,   1.412
    0.452,     1.502,  0.489,   1.412
    0.449,     1.506,  0.485,   1.413
    0.454,     1.501,  0.490,   1.412
    0.454,     1.504,  0.491,   1.412
    0.453,     1.501,  0.486,   1.412
    0.453,     1.503,  0.492,   1.411
    0.455,     1.499,  0.492,   1.410
    0.450,     1.505,  0.492,   1.411
    0.453,     1.502,  0.490,   1.412
    0.454,     1.503,  0.491,   1.411
    0.451,     1.504,  0.486,   1.412
    0.450,     1.504,  0.488,   1.412
    0.450,     1.506,  0.488,   1.412
    0.452,     1.504,  0.489,   1.411
    0.453,     1.500,  0.491,   1.411
    0.452,     1.503,  0.487,   1.412
    0.453,     1.501,  0.491,   1.411
    0.452,     1.500,  0.492,   1.412
    0.452,     1.505,  0.491,   1.411
    0.453,     1.501,  0.490,   1.411
