train_acc,train_loss,val_acc,val_loss
    0.048,     4.243,  0.089,   3.914
    0.117,     3.724,  0.155,   3.549
    0.170,     3.401,  0.188,   3.310
    0.223,     3.125,  0.197,   3.460
    0.274,     2.865,  0.277,   2.884
    0.316,     2.648,  0.295,   2.806
    0.358,     2.451,  0.315,   2.693
    0.389,     2.300,  0.363,   2.527
    0.423,     2.157,  0.345,   2.605
    0.445,     2.054,  0.403,   2.280
    0.467,     1.955,  0.415,   2.282
    0.485,     1.868,  0.367,   2.616
    0.501,     1.792,  0.431,   2.207
    0.519,     1.722,  0.379,   2.497
    0.532,     1.665,  0.401,   2.471
    0.547,     1.611,  0.416,   2.338
    0.562,     1.557,  0.443,   2.203
    0.573,     1.510,  0.448,   2.148
    0.577,     1.476,  0.428,   2.389
    0.591,     1.435,  0.483,   2.079
    0.600,     1.402,  0.475,   2.100
    0.609,     1.358,  0.506,   1.947
    0.613,     1.335,  0.484,   2.016
    0.621,     1.303,  0.495,   2.009
    0.630,     1.270,  0.502,   1.960
    0.636,     1.246,  0.507,   2.071
    0.641,     1.231,  0.518,   1.930
    0.646,     1.208,  0.535,   1.811
    0.655,     1.179,  0.533,   1.880
    0.660,     1.156,  0.529,   1.901
    0.666,     1.137,  0.528,   1.952
    0.666,     1.124,  0.503,   2.077
    0.670,     1.111,  0.562,   1.746
    0.676,     1.088,  0.526,   1.912
    0.680,     1.074,  0.540,   1.918
    0.687,     1.054,  0.528,   2.005
    0.685,     1.046,  0.528,   2.029
    0.693,     1.032,  0.557,   1.770
    0.695,     1.013,  0.547,   1.852
    0.701,     1.000,  0.551,   1.887
    0.704,     0.987,  0.561,   1.826
    0.707,     0.975,  0.550,   1.966
    0.708,     0.971,  0.540,   1.971
    0.711,     0.950,  0.535,   1.984
    0.711,     0.946,  0.555,   1.830
    0.717,     0.934,  0.541,   1.928
    0.720,     0.919,  0.509,   2.283
    0.721,     0.920,  0.546,   1.858
    0.723,     0.912,  0.526,   2.107
    0.725,     0.904,  0.559,   1.854
    0.729,     0.889,  0.543,   2.066
    0.731,     0.882,  0.532,   2.066
    0.732,     0.878,  0.563,   1.922
    0.736,     0.868,  0.534,   2.043
