train_acc,train_loss,val_acc,val_loss
    0.231,     2.041,  0.295,   1.878
    0.333,     1.756,  0.378,   1.663
    0.384,     1.644,  0.388,   1.613
    0.407,     1.585,  0.406,   1.617
    0.425,     1.549,  0.437,   1.513
    0.444,     1.514,  0.477,   1.437
    0.455,     1.484,  0.478,   1.428
    0.469,     1.452,  0.478,   1.407
    0.481,     1.424,  0.509,   1.378
    0.493,     1.401,  0.496,   1.393
    0.504,     1.377,  0.525,   1.347
    0.511,     1.360,  0.484,   1.445
    0.515,     1.348,  0.518,   1.345
    0.520,     1.338,  0.539,   1.287
    0.523,     1.333,  0.544,   1.267
    0.523,     1.327,  0.547,   1.283
    0.528,     1.318,  0.530,   1.297
    0.531,     1.311,  0.542,   1.282
    0.531,     1.310,  0.555,   1.239
    0.532,     1.307,  0.493,   1.465
    0.537,     1.294,  0.561,   1.234
    0.539,     1.296,  0.555,   1.243
    0.541,     1.287,  0.560,   1.230
    0.538,     1.287,  0.549,   1.260
    0.541,     1.283,  0.548,   1.273
    0.544,     1.277,  0.572,   1.215
    0.544,     1.276,  0.547,   1.252
    0.545,     1.272,  0.567,   1.214
    0.546,     1.271,  0.555,   1.242
    0.547,     1.267,  0.527,   1.319
    0.548,     1.268,  0.547,   1.285
    0.547,     1.267,  0.552,   1.258
    0.550,     1.259,  0.577,   1.206
    0.551,     1.260,  0.523,   1.308
    0.551,     1.261,  0.555,   1.264
    0.551,     1.254,  0.550,   1.255
    0.552,     1.255,  0.553,   1.275
    0.551,     1.254,  0.551,   1.250
    0.551,     1.253,  0.539,   1.290
    0.555,     1.252,  0.539,   1.277
    0.555,     1.247,  0.580,   1.187
    0.554,     1.244,  0.552,   1.266
    0.553,     1.250,  0.546,   1.274
    0.553,     1.253,  0.574,   1.202
    0.555,     1.244,  0.574,   1.190
    0.554,     1.242,  0.546,   1.322
    0.557,     1.244,  0.555,   1.288
    0.557,     1.241,  0.581,   1.185
    0.557,     1.241,  0.529,   1.345
    0.558,     1.242,  0.491,   1.471
    0.558,     1.238,  0.534,   1.341
    0.560,     1.236,  0.544,   1.269
    0.559,     1.235,  0.576,   1.215
    0.558,     1.234,  0.541,   1.313
    0.560,     1.234,  0.582,   1.181
    0.555,     1.235,  0.512,   1.416
    0.559,     1.232,  0.567,   1.239
    0.559,     1.232,  0.594,   1.154
    0.560,     1.231,  0.579,   1.187
    0.560,     1.230,  0.575,   1.197
    0.561,     1.228,  0.546,   1.284
    0.562,     1.233,  0.575,   1.184
    0.560,     1.229,  0.583,   1.179
    0.560,     1.228,  0.495,   1.494
    0.558,     1.227,  0.547,   1.292
    0.561,     1.228,  0.568,   1.194
    0.561,     1.228,  0.535,   1.333
    0.558,     1.232,  0.579,   1.167
    0.563,     1.227,  0.570,   1.216
    0.562,     1.225,  0.546,   1.314
    0.561,     1.225,  0.552,   1.270
    0.564,     1.225,  0.540,   1.316
    0.561,     1.227,  0.571,   1.197
    0.563,     1.224,  0.568,   1.216
    0.564,     1.222,  0.503,   1.480
    0.565,     1.220,  0.528,   1.390
    0.564,     1.218,  0.588,   1.150
    0.565,     1.223,  0.547,   1.260
    0.565,     1.218,  0.543,   1.328
    0.564,     1.224,  0.567,   1.215
    0.579,     1.182,  0.616,   1.083
    0.580,     1.171,  0.621,   1.075
    0.584,     1.168,  0.621,   1.070
    0.584,     1.167,  0.619,   1.072
    0.587,     1.163,  0.621,   1.067
    0.585,     1.164,  0.624,   1.071
    0.583,     1.166,  0.626,   1.066
    0.587,     1.163,  0.622,   1.064
    0.584,     1.164,  0.621,   1.068
    0.586,     1.161,  0.617,   1.070
    0.585,     1.163,  0.619,   1.070
    0.585,     1.164,  0.626,   1.065
    0.587,     1.159,  0.618,   1.073
    0.588,     1.161,  0.620,   1.065
    0.587,     1.162,  0.619,   1.067
    0.586,     1.163,  0.616,   1.071
    0.586,     1.162,  0.618,   1.068
    0.588,     1.156,  0.622,   1.065
    0.587,     1.159,  0.617,   1.065
    0.586,     1.162,  0.620,   1.065
    0.585,     1.160,  0.622,   1.064
    0.588,     1.160,  0.620,   1.067
    0.589,     1.153,  0.623,   1.063
    0.589,     1.156,  0.621,   1.062
    0.587,     1.157,  0.623,   1.063
    0.591,     1.153,  0.619,   1.066
    0.587,     1.159,  0.618,   1.064
    0.589,     1.154,  0.614,   1.064
    0.587,     1.154,  0.615,   1.067
    0.585,     1.161,  0.626,   1.059
    0.589,     1.156,  0.621,   1.061
    0.590,     1.156,  0.613,   1.069
    0.588,     1.155,  0.620,   1.067
    0.589,     1.151,  0.621,   1.070
    0.587,     1.153,  0.618,   1.062
    0.587,     1.152,  0.618,   1.068
    0.586,     1.157,  0.619,   1.065
    0.587,     1.157,  0.619,   1.065
